#: table_doi: 10.17182/hepdata.137818.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}\eta}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{p}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: P PB --> CHARGED
#: keyword observables: DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP
#: keyword cmenergies: 5023
#: keyword phrases: Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,,  0.00 TO   5.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-3.125,-3.25,-3.0,20.397,0.006,-0.006,1.277,-1.325
-2.875,-3.0,-2.75,21.21,0.006,-0.006,1.328,-1.378
-2.625,-2.75,-2.5,22.027,0.006,-0.006,1.379,-1.431
-2.375,-2.5,-2.25,22.409,0.006,-0.006,1.403,-1.456
-2.145,-2.25,-2.04,22.922,0.005,-0.005,1.435,-1.489
-1.975,-2.04,-1.91,22.905,0.006,-0.006,0.687,-0.689
-1.8599999999999999,-1.91,-1.81,23.185,0.006,-0.006,0.688,-0.69
-1.755,-1.81,-1.7,23.318,0.006,-0.006,0.689,-0.692
-1.65,-1.7,-1.6,23.4,0.07,-0.07,0.77,-0.77
-1.55,-1.6,-1.5,23.5,0.06,-0.06,0.76,-0.76
-1.45,-1.5,-1.4,23.55,0.05,-0.05,0.77,-0.77
-1.35,-1.4,-1.3,23.6,0.05,-0.05,0.76,-0.76
-1.25,-1.3,-1.2,23.57,0.04,-0.04,0.75,-0.75
-1.15,-1.2,-1.1,23.5,0.04,-0.04,0.75,-0.75
-1.05,-1.1,-1.0,23.47,0.04,-0.04,0.74,-0.74
-0.95,-1.0,-0.9,23.4,0.04,-0.04,0.73,-0.73
-0.8500000000000001,-0.9,-0.8,23.29,0.04,-0.04,0.72,-0.72
-0.75,-0.8,-0.7,23.19,0.04,-0.04,0.72,-0.72
-0.6499999999999999,-0.7,-0.6,23.09,0.03,-0.03,0.71,-0.71
-0.55,-0.6,-0.5,23.0,0.03,-0.03,0.71,-0.71
-0.45,-0.5,-0.4,22.92,0.03,-0.03,0.7,-0.7
-0.35,-0.4,-0.3,22.88,0.03,-0.03,0.7,-0.7
-0.25,-0.3,-0.2,22.85,0.03,-0.03,0.7,-0.7
-0.15000000000000002,-0.2,-0.1,22.87,0.03,-0.03,0.7,-0.7
-0.05,-0.1,0.0,22.92,0.03,-0.03,0.7,-0.7
0.05,0.0,0.1,23.04,0.03,-0.03,0.71,-0.71
0.15000000000000002,0.1,0.2,23.11,0.03,-0.03,0.71,-0.71
0.25,0.2,0.3,23.34,0.03,-0.03,0.72,-0.72
0.35,0.3,0.4,23.55,0.03,-0.03,0.72,-0.72
0.45,0.4,0.5,23.84,0.03,-0.03,0.73,-0.73
0.55,0.5,0.6,24.1,0.03,-0.03,0.74,-0.74
0.6499999999999999,0.6,0.7,24.38,0.03,-0.03,0.75,-0.75
0.75,0.7,0.8,24.71,0.04,-0.04,0.77,-0.77
0.8500000000000001,0.8,0.9,24.98,0.04,-0.04,0.78,-0.78
0.95,0.9,1.0,25.3,0.04,-0.04,0.8,-0.8
1.05,1.0,1.1,25.62,0.04,-0.04,0.81,-0.81
1.15,1.1,1.2,25.88,0.04,-0.04,0.82,-0.82
1.25,1.2,1.3,26.07,0.04,-0.04,0.83,-0.83
1.35,1.3,1.4,26.35,0.05,-0.05,0.85,-0.85
1.45,1.4,1.5,26.55,0.05,-0.05,0.86,-0.86
1.55,1.5,1.6,26.7,0.06,-0.06,0.87,-0.87
1.65,1.6,1.7,26.79,0.07,-0.07,0.89,-0.89
1.75,1.7,1.8,27.139,0.007,-0.007,0.805,-0.808
1.85,1.8,1.9,27.25,0.007,-0.007,0.812,-0.815
1.97,1.9,2.04,26.931,0.007,-0.007,0.81,-0.812
2.145,2.04,2.25,28.046,0.007,-0.007,1.756,-1.822
2.375,2.25,2.5,27.717,0.008,-0.008,1.736,-1.801
2.625,2.5,2.75,27.755,0.007,-0.007,1.738,-1.803
2.875,2.75,3.0,27.352,0.007,-0.007,1.713,-1.777
3.125,3.0,3.25,27.092,0.008,-0.008,1.696,-1.76
3.375,3.25,3.5,26.52,0.01,-0.01,1.66,-1.72
3.625,3.5,3.75,24.58,0.02,-0.02,1.62,-1.67
3.875,3.75,4.0,23.856,0.007,-0.007,1.568,-1.622
4.125,4.0,4.25,23.16,0.007,-0.007,1.522,-1.574
4.375,4.25,4.5,22.324,0.007,-0.007,1.467,-1.518
4.625,4.5,4.75,21.711,0.008,-0.008,1.427,-1.476
4.875,4.75,5.0,21.08,0.01,-0.01,1.39,-1.43

#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,, 40.00 TO  60.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-4.875,-5.0,-4.75,10.78,0.01,-0.01,0.71,-0.73
-4.625,-4.75,-4.5,11.21,0.01,-0.01,0.74,-0.76
